epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.321807888895,0.246166064342,0.162505354732,0.253321933746
1,0.133456410778,0.243443837389,0.120120780542,0.239816096053
2,0.121135893092,0.249472579484,0.105674681626,0.230977090821
3,0.111111255549,0.240259797499,0.0964701103047,0.221541640162
4,0.107744043351,0.238761826729,0.102172429115,0.233765404299
5,0.106550166818,0.238115019227,0.111162584648,0.237943545729
6,0.101618350049,0.228330779324,0.0971041497774,0.219957984984
7,0.0990671529124,0.226154132498,0.0925554580986,0.206529565156
8,0.0972499019777,0.223558226352,0.109797459934,0.233278241009
9,0.100439652273,0.224942908436,0.107242322713,0.228401487693
10,0.100635964827,0.226915586119,0.122537139803,0.246438249201
11,0.0995921559942,0.226836285988,0.095922494214,0.216011480242
12,0.0967268521587,0.221438793962,0.0956249529496,0.225581664965
13,0.0991591106635,0.224639229911,0.100708023459,0.215490436926
14,0.101345653335,0.2295523379,0.103327368945,0.229198943824
15,0.101057346041,0.227992397671,0.0942882379517,0.218307157978
